"book_id"|"book_title"|"book_language"|"book_author_id"|"book_year"|"book_read"
1|"Wide federal they because eye between"|"FR"|2|"1995"|1
2|"Fish early something yeah produce"|"EN"|5|"1988"|1
3|"Smile line ahead"|"ES"|5|"1986"|0
4|"Good American throw"|"FR"|4|"1987"|0
5|"Majority age value"|"EN"|6|"2000"|0
6|"Wall financial newspaper"|"NL"|3|"2000"|0
7|"Someone forward certainly"|"NL"|5|"1987"|0
8|"Once alone least"|"EN"|5|"1991"|1
9|"Minute will administration week natural"|"EN"|8|"2009"|1
10|"By peace anyone walk investment catch"|"EN"|4|"1988"|1
11|"Top since real account suggest"|"EN"|6|"2009"|1
12|"Food against partner action"|"FR"|3|"2022"|0
13|"Alone up large soldier service"|"FR"|4|"1997"|0
14|"Discuss next beat fire real able"|"NL"|3|"2018"|0
15|"This along sign drive source"|"EN"|7|"1983"|1
16|"Total first side"|"FR"|6|"1972"|0
17|"Least media listen official finally air"|"FR"|6|"1995"|1
18|"Poor growth similar mouth hard"|"EN"|7|"2006"|1
19|"Left involve their value drive"|"NL"|2|"1982"|0
20|"Personal question financial west"|"FR"|3|"1999"|1
21|"Itself middle ask prevent animal"|"NL"|6|"2016"|0
22|"Whole machine resource Mr"|"ES"|2|"1993"|1
23|"First society create"|"ES"|6|"2006"|1
24|"Old city call cover maybe force"|"FR"|5|"1977"|0
25|"Song want follow study"|"EN"|8|"1992"|0
26|"Usually add despite story history general recently"|"EN"|2|"1973"|0
27|"Color check fight night month"|"FR"|7|"1991"|1
28|"Pressure each professor"|"EN"|6|"1995"|1
29|"Role week nor listen goal"|"NL"|3|"1988"|1
30|"Film performance everyone hand"|"FR"|5|"2022"|1
31|"Letter cold into mind"|"ES"|6|"1983"|1
32|"Ball support consider"|"ES"|6|"1980"|1
33|"Citizen Mr smile seat although major"|"ES"|3|"1995"|1
34|"Budget cover research vote degree"|"ES"|5|"1995"|1
35|"Nothing can win suggest discover impact"|"NL"|6|"2021"|1
36|"Allow Democrat animal true"|"NL"|5|"2004"|0
37|"Hot special cause democratic fight that"|"EN"|3|"1997"|1
38|"Economic view back no treat baby"|"FR"|4|"1971"|0
39|"Direction perhaps hope election cup"|"ES"|4|"1998"|0
40|"Will blue weight"|"FR"|7|"1978"|1
41|"Too easy behind"|"EN"|3|"1978"|0
42|"Be range food daughter itself support let"|"FR"|5|"2003"|1
43|"Or along second no"|"EN"|5|"2020"|0
44|"Standard professor page"|"FR"|5|"2022"|1
45|"Throw will during model check"|"EN"|8|"1983"|1
46|"Perform various news"|"EN"|3|"1978"|0
47|"Back different get"|"FR"|7|"2014"|1
48|"Meet think whom"|"FR"|8|"1993"|0
49|"Indeed difficult enter"|"ES"|4|"1976"|0
50|"Relate process site rule section bill"|"FR"|5|"1981"|0
51|"Student keep interesting"|"NL"|6|"2022"|0
52|"Wait notice without analysis heavy"|"FR"|3|"1979"|0
53|"Believe two total"|"FR"|6|"1975"|1
