"rental_id"|"rental_date"|"return_date"|"last_updated"|"bookworm_id"|"inventory_id"|"staff_id"
1|"2023-03-27 02:53:21.198872"|"2023-03-27 02:53:21.198875"|"2023-03-27 02:53:21.198875"|167|2965|1
2|"2023-03-27 02:53:21.198900"|"2023-03-27 02:53:21.198901"|"2023-03-27 02:53:21.198901"|467|236|2
3|"2023-03-27 02:53:21.198911"|"2023-03-27 02:53:21.198912"|"2023-03-27 02:53:21.198912"|360|1539|1
4|"2023-03-27 02:53:21.198922"|"2023-03-27 02:53:21.198922"|"2023-03-27 02:53:21.198922"|101|2923|2
5|"2023-03-27 02:53:21.198931"|"2023-03-27 02:53:21.198932"|"2023-03-27 02:53:21.198932"|287|395|2
6|"2023-03-27 02:53:21.198941"|"2023-03-27 02:53:21.198942"|"2023-03-27 02:53:21.198942"|301|468|2
7|"2023-03-27 02:53:21.198951"|"2023-03-27 02:53:21.198951"|"2023-03-27 02:53:21.198951"|524|454|1
8|"2023-03-27 02:53:21.198979"|"2023-03-27 02:53:21.198980"|"2023-03-27 02:53:21.198980"|522|362|1
9|"2023-03-27 02:53:21.198992"|"2023-03-27 02:53:21.198992"|"2023-03-27 02:53:21.198993"|129|2568|1
10|"2023-03-27 02:53:21.199004"|"2023-03-27 02:53:21.199005"|"2023-03-27 02:53:21.199005"|223|1264|1
11|"2023-03-27 02:53:21.199028"|"2023-03-27 02:53:21.199029"|"2023-03-27 02:53:21.199029"|425|2165|1
12|"2023-03-27 02:53:21.199038"|"2023-03-27 02:53:21.199039"|"2023-03-27 02:53:21.199039"|338|1575|2
13|"2023-03-27 02:53:21.199048"|"2023-03-27 02:53:21.199049"|"2023-03-27 02:53:21.199049"|33|262|1
14|"2023-03-27 02:53:21.199058"|"2023-03-27 02:53:21.199058"|"2023-03-27 02:53:21.199059"|8|1581|2
15|"2023-03-27 02:53:21.199068"|"2023-03-27 02:53:21.199068"|"2023-03-27 02:53:21.199069"|173|476|2
16|"2023-03-27 02:53:21.199078"|"2023-03-27 02:53:21.199079"|"2023-03-27 02:53:21.199079"|355|2353|2
17|"2023-03-27 02:53:21.199088"|"2023-03-27 02:53:21.199089"|"2023-03-27 02:53:21.199089"|343|2651|2
18|"2023-03-27 02:53:21.199098"|"2023-03-27 02:53:21.199099"|"2023-03-27 02:53:21.199099"|533|2155|1
19|"2023-03-27 02:53:21.199108"|"2023-03-27 02:53:21.199108"|"2023-03-27 02:53:21.199109"|346|209|1
20|"2023-03-27 02:53:21.199118"|"2023-03-27 02:53:21.199118"|"2023-03-27 02:53:21.199119"|189|581|1
21|"2023-03-27 02:53:21.199128"|"2023-03-27 02:53:21.199128"|"2023-03-27 02:53:21.199128"|190|2092|1
22|"2023-03-27 02:53:21.199137"|"2023-03-27 02:53:21.199138"|"2023-03-27 02:53:21.199138"|267|488|1
23|"2023-03-27 02:53:21.199147"|"2023-03-27 02:53:21.199148"|"2023-03-27 02:53:21.199148"|535|863|1
24|"2023-03-27 02:53:21.199157"|"2023-03-27 02:53:21.199158"|"2023-03-27 02:53:21.199158"|210|1679|1
25|"2023-03-27 02:53:21.199167"|"2023-03-27 02:53:21.199168"|"2023-03-27 02:53:21.199168"|212|1498|2
26|"2023-03-27 02:53:21.199177"|"2023-03-27 02:53:21.199177"|"2023-03-27 02:53:21.199178"|14|1484|2
27|"2023-03-27 02:53:21.199188"|"2023-03-27 02:53:21.199189"|"2023-03-27 02:53:21.199189"|370|2899|2
28|"2023-03-27 02:53:21.199198"|"2023-03-27 02:53:21.199198"|"2023-03-27 02:53:21.199199"|433|1523|1
29|"2023-03-27 02:53:21.199208"|"2023-03-27 02:53:21.199208"|"2023-03-27 02:53:21.199209"|224|2878|1
30|"2023-03-27 02:53:21.199218"|"2023-03-27 02:53:21.199218"|"2023-03-27 02:53:21.199218"|141|2337|2
31|"2023-03-27 02:53:21.199227"|"2023-03-27 02:53:21.199228"|"2023-03-27 02:53:21.199228"|38|1970|1
32|"2023-03-27 02:53:21.199237"|"2023-03-27 02:53:21.199238"|"2023-03-27 02:53:21.199238"|310|1734|1
33|"2023-03-27 02:53:21.199247"|"2023-03-27 02:53:21.199248"|"2023-03-27 02:53:21.199248"|231|1174|1
34|"2023-03-27 02:53:21.199257"|"2023-03-27 02:53:21.199257"|"2023-03-27 02:53:21.199258"|100|1993|1
35|"2023-03-27 02:53:21.199266"|"2023-03-27 02:53:21.199267"|"2023-03-27 02:53:21.199267"|159|1216|2
36|"2023-03-27 02:53:21.199276"|"2023-03-27 02:53:21.199277"|"2023-03-27 02:53:21.199277"|430|565|2
37|"2023-03-27 02:53:21.199286"|"2023-03-27 02:53:21.199286"|"2023-03-27 02:53:21.199287"|144|1258|2
38|"2023-03-27 02:53:21.199296"|"2023-03-27 02:53:21.199296"|"2023-03-27 02:53:21.199296"|392|1564|1
39|"2023-03-27 02:53:21.199305"|"2023-03-27 02:53:21.199306"|"2023-03-27 02:53:21.199306"|54|1618|2
40|"2023-03-27 02:53:21.199316"|"2023-03-27 02:53:21.199316"|"2023-03-27 02:53:21.199316"|98|2925|2
41|"2023-03-27 02:53:21.199325"|"2023-03-27 02:53:21.199326"|"2023-03-27 02:53:21.199326"|284|403|1
42|"2023-03-27 02:53:21.199335"|"2023-03-27 02:53:21.199336"|"2023-03-27 02:53:21.199336"|318|2930|1
43|"2023-03-27 02:53:21.199357"|"2023-03-27 02:53:21.199358"|"2023-03-27 02:53:21.199358"|15|193|1
44|"2023-03-27 02:53:21.199367"|"2023-03-27 02:53:21.199367"|"2023-03-27 02:53:21.199368"|545|1707|1
45|"2023-03-27 02:53:21.199404"|"2023-03-27 02:53:21.199405"|"2023-03-27 02:53:21.199405"|585|2087|1
46|"2023-03-27 02:53:21.199416"|"2023-03-27 02:53:21.199417"|"2023-03-27 02:53:21.199417"|251|2644|1
47|"2023-03-27 02:53:21.199428"|"2023-03-27 02:53:21.199429"|"2023-03-27 02:53:21.199429"|176|215|2
